English,Malaysian,Indonesian
gangster,samseng,"geng, preman from Dutch vrijman (lit. free-man), gangster from English"
garage,garaj,garasi influenced by Dutch pronunciation
garrison,garrison,garnisun from Dutch garnizoen
gear,gear,"roda gigi influenced by Dutch tandwiel, lit. ""tooth wheel"""
gearbox,kotak gear,"persneling from Dutch versnelling, girboks, transmisi"
general (military),jeneral,jenderal from Dutch generaal
ginger,halia,jahe jahi halia[40]
Global Positioning System,Sistem Kedudukan Sejagat,Sistem Pemosisian Global
goal keeper,penjaga gol/penjaga gawang,"kiper, penjaga gawang"
golf club (stick),kayu golf,"stik golf, pemukul golf, tongkat golf"
government,"kerajaan derived from raja (king) – used in Malaysia and Brunei – in Indonesian means ""kingdom""","pemerintah derived from perintah (order/instruction) – also used in Singapore, which, like Indonesia, is a republic"
governor,"gabenor, Yang di-Pertua Negeri (in Malaysian states)",gubernur from Dutch gouverneur
gradation,pemeringkatan,"gradasi, pemberian tingkat (pemeringkatan)"
graduate,"siswazah, sarjana","lulusan, sarjana"
grandfather,datuk,kakek
Greece,"Greece of recent use, Yunani",Yunani from Arabic Yūnān يُونَان
gross financial,kasar,"bruto from Dutch, kasar"
group,"sekumpulan, kumpulan","kelompok, grup from Dutch pronunciation of groep, (per)kumpulan, (per)himpunan"
guarantee,jaminan,"jaminan, garansi from Dutch pronunciation of garantie"
