Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
Visual Genome,Images and their description,,"108,000","images, text",Image captioning,2016,[50],R. Krishna et al.
Berkeley 3-D Object Dataset,849 images taken in 75 different scenes. About 50 different object classes are labeled.,Object bounding boxes and labeling.,849,"labeled images, text",Object recognition,2014,[51][52],A. Janoch et al.
Berkeley Segmentation Data Set and Benchmarks 500 (BSDS500),"500 natural images, explicitly separated into disjoint train, validation and test subsets + benchmarking code. Based on BSDS300.",Each image segmented by five different subjects on average.,500,Segmented images,Contour detection and hierarchical image segmentation,2011,[53],"University of California, Berkeley"
Microsoft Common Objects in Context (COCO),complex everyday scenes of common objects in their natural context.,"Object highlighting, labeling, and classification into 91 object types.","2,500,000","Labeled images, text",Object recognition,2015,[54][55],T. Lin et al.
SUN Database,Very large scene and object recognition database.,Places and objects are labeled. Objects are segmented.,"131,067","Images, text","Object recognition, scene recognition",2014,[56][57],J. Xiao et al.
ImageNet,"Labeled object image database, used in the ImageNet Large Scale Visual Recognition Challenge","Labeled objects, bounding boxes, descriptive words, SIFT features","14,197,122","Images, text","Object recognition, scene recognition",2009 (2014),[58][59][60],J. Deng et al.
Open Images,A Large set of images listed as having CC BY 2.0 license with image-level labels and bounding boxes spanning thousands of classes.,"Image-level labels, Bounding boxes","9,178,275","Images, text","Classification, Object recognition",2017,[61],
TV News Channel Commercial Detection Dataset,TV commercials and news broadcasts.,Audio and video features extracted from still images.,"129,685",Text,"Clustering, classification",2015,[62][63],P. Guha et al.
Statlog (Image Segmentation) Dataset,The instances were drawn randomly from a database of 7 outdoor images and hand-segmented to create a classification for every pixel.,Many features calculated.,2310,Text,Classification,1990,[64],University of Massachusetts
Caltech 101,Pictures of objects.,Detailed object outlines marked.,9146,Images,"Classification, object recognition.",2003,[65][66],F. Li et al.
Caltech-256,Large dataset of images for object classification.,Images categorized and hand-sorted.,"30,607","Images, Text","Classification, object detection",2007,[67][68],G. Griffin et al.
SIFT10M Dataset,SIFT features of Caltech-256 dataset.,Extensive SIFT feature extraction.,"11,164,866",Text,"Classification, object detection",2016,[69],X. Fu et al.
LabelMe,Annotated pictures of scenes.,Objects outlined.,"187,240","Images, text","Classification, object detection",2005,[70],MIT Computer Science and Artificial Intelligence Laboratory
Cityscapes Dataset,"Stereo video sequences recorded in street scenes, with pixel-level annotations. Metadata also included.",Pixel-level segmentation and labeling,"25,000","Images, text","Classification, object detection",2016,[71],Daimler AG et al.
PASCAL VOC Dataset,Large number of images for classification tasks.,"Labeling, bounding box included","500,000","Images, text","Classification, object detection",2010,[72][73],M. Everingham et al.
