English,Malaysian,Indonesian
vagina,"faraj (from Arabic, in Indonesian means ""vulva""), pepek/pepet (slang)","alat kelamin wanita, liang peranakan, vagina, farji, memek (slang, vulgar), pepek (slang, vulgar)"
variable (mathematics),pemboleh ubah,"variabel, peubah"
Vatican City,Vatican City,(Kota) Vatikan
Venice,Venice,Venesia (influenced by Dutch Venetië)
verb,kata kerja,"kata kerja (influenced by Dutch werkwoord, lit. ""work word""), verba"
verification,"pengesahan (means ""validation"" in Indonesian)",verifikasi
very,"sangat, amat, sekali","sangat, amat, sekali, banget (from Javanese ngoko)"
vice (deputy),naib,"wakil, naib (less common)"
victim,"mangsa in Indonesian means ""prey""",korban
Vienna,Vienna,Wina (influenced by Dutch Wenen)
violet (colour),lembayung,"violet, ungu, lembayung (rarely used)"
virgin,"(anak) dara, (anak) gadis, perawan","perawan (formal), gadis, (anak) dara"
viscosity,kelikatan,"viskositas, kekentalan"
visit,"lawatan, pelancongan","wisata, kunjungan, pelancongan, lawatan (to foreign country, an excursion), besuk (from Dutch bezoeken) (to someone sick)"
volleyball,bola tampar,bola voli
volume (math),isi padu,"volume, ruang, isi"
voucher,baucer,voucer
