English,Malaysian,Indonesian
dandruff,kelemumur,ketombe
December,Disember,Desember (influenced by Dutch december)
decimal,perpuluhan (means tithe in Indonesian),"desimal (from Dutch decimale), persepuluhan (rare)"
decree,dekri,"surat keputusan, dekrit (from Dutch decreet)"
degree (of temperature),darjah,derajat
"delicious, tasty","lazat, sedap, enak","lezat, enak, sedap"
democratic,demokratik,"demokratis (from Dutch demokratisch note: ""democratic republic"" (in country names) translates as republik demokratik, such as in Republik Demokratik Kongo (Democratic Republic of the Congo))"
department,jabatan ('occupation' in Indonesian),"departemen, jurusan (for department in university)"
departure,pelepasan,"keberangkatan, kepergian"
depression (psychological),"kemurungan (means ""sadness"" in Indonesian)",depresi (from Dutch depressie)
deputy,timbalan,"wakil, deputi, timbalan (rare)"
design,reka bentuk,"desain, kerangka bentuk, rancangan"
detail,terperinci,"detail, detil (nonstandard), perincian, rinci (nonstandard)"
dialect,loghat,"dialek, logat"
detection,pengesana,"pelacakan, deteksi"
different – difference,"beza, berbeza – perbezaan","beda, berbeda – perbedaan"
diocese,"kawasan uskup, keuskupan",keuskupan
director,pengarah,"direktur from Dutch (and French) directeur, sutradara (of a film) from Sanskrit (through Javanese), pengarah (for an event)"
discount,"diskaun, rebat, potongan harga","diskon, rabat, potongan harga, korting from Dutch, less frequent"
discussion,"perbincangan, diskusi","pembicaraan, perbincangan, diskusi (from Dutch discussie)"
disinfectant,penyahjangkit,"disinfektan, sucihama"
domestic,dalam negara,"dalam negeri, domestik"
driver,pemandu means guide in Indonesian,"sopir from French chauffeur through Dutch, pengemudi formal"
driver's license (U.S.) driving licence (UK),lesen memandu,surat izin mengemudi (SIM)
drugs (illegal),"dadah (colloquial use in Indonesia means ""goodbye"")","narkoba (an acronym for NARKotika dan OBat-obatan terlArang (narcotics and illegal drugs)), NAPZA (less frequent – an acronym for NArkotika, Psikotropika dan Zat-zat Adiktif (narcotics, psychotropics, and addictive chemical substances))"
Dutch East Indies,Hindia Timur Belanda,Hindia-Belanda
duty (economics),"duti, cukai","bea, cukai"
