English,Malaysian,Indonesian
e-mail,e-mel,"surel (standard, shortened of surat elektronik (electronic mail)), email (rarely used in everyday spelling, often used in online spelling (e.g. website-based registration or social account))"
Easter,"Easter, Paskah strictly used for Jewish Passover ",Paskah from Portuguese Pascoa
Ecuador,Ecuador,Ekuador
editor,penyunting,"editor, penyunting, redaktur (from French rédacteur through Dutch – refers to editors of mass printed media)"
editorial (board),kakitangan editorial,"redaksi (from Dutch redactie),editorial"
effectiveness,keberkesanan,"keampuhan, keefektifan, efektivitas (from Dutch effectiviteit)"
efficiency,kecekapan,"efisiensi, kedayagunaan, kemangkusan"
Eid ul-Fitr,"Hari Raya Aidilfitri, Lebaran[38]","Hari Raya Idulfitri – Idul Fitri nonstandard spelling, but common, Lebaran colloquial – from Javanese"
eight,lapan used as colloquial abbreviation in Indonesian,delapan used in Malaysia before the spelling reform
elasticity (economy),keanjalan,"bingkas, elastisitas"
electricity,tenaga elektrik lit. electric energy,"listrik, kelistrikan, setrum (from Dutch stroom)"
embargo (political),"sekatan (means ""obstacle"" or ""room which separated with partition"" in Indonesian)","boikot, embargo"
emergency,"kecemasan (used for anxiety or ""too anxious"" (condition) in Indonesian)","darurat (from Arabic – also used in Malaysia to express a state of emergency), kegawatan"
emperor,maharaja,"kaisar (from Dutch keizer), maharaja (from Sanskrit)"
empire,empayar,"kekaisaran, kemaharajaan, imperium (from Latin)"
enamel,enamel,email (from Dutch emaille)
energy,tenaga,"energi, tenaga (for ""power"")"
engine,enjin,"mesin, motor"
England,negeri Inggeris,Inggris
eraser,getah pemadam,penghapus
erosion,hakisan,"pengikisan, erosi (from Dutch erosie)"
escalator,tangga gerak,"tangga berjalan, eskalator"
estimation,"jangkaan, anggaran","perkiraan, dugaan, estimasi"
Ethiopia,Habsyah from Arabic الحبشة al-habsha (Abyssinia),Etiopia
Europe,Eropah,"Eropa, Europa (nonstandard)"
evacuation,"pemindahan (means ""translocation"" or ""relocation"" in Indonesian)","pengungsian, evakuasi (from Dutch evacuatie)"
evaluation,penilaian,"penilaian, evaluasi (from Dutch evaluatie)"
evening,teja,sore petang
excess,lebihan,"kelebihan, berlebihan, ekses"
excretion,perkumuhan,"ekskresi, pembuangan kotoran"
execution (death sentence),hukuman mati,"eksekusi (from Dutch executie), (peng)hukuman mati"
exhaust (pipe),ekzos,"knalpot (from Dutch, in which it also means ""muffler"")"
exploration,"penjelajahan, eksplorasi","eksplorasi, penjelajahan"
export,eksport,ekspor
expose,pendedahan,"paparan, ekspos, pendedahan (virtually never used in Indonesia, listed by KBBI)"
extinct,pupus,"padam (of flame or light), punah (of species), pupus (loss of hope)"
