English,Malaysian,Indonesian
Macau,Macau,Makau
"Macedonia, Republic of",Republik Macedonia,Republik Makedonia
magistrate,majistret,"hakim from Arabic حَكِم – used in Malaysian to refer to judges, magistrat less common"
Maldives,Maldives,Maladewa
male,"lelaki, laki-laki, jantan (for animals, depending on the context, it can mean masculine or used as a derogatory term on men)","laki-laki, pria, lelaki, jantan (on animals, used on men to describe masculinity)"
malfunction,"kerosakan, malfungsi, pincang tugas","kerusakan, malafungsi"
malpractice,"penyelewengan (means ""misappropriation"" in Indonesian)",malapraktik
management,pengurusan,"manajemen, pengurusan (rare)"
manager,pengurus,"manajer, pengurus"
manufacturing,pengilangan,manufaktur
March (month),Mac,Maret influenced by Dutch maart
mass,jisim,massa
mathematics,"matematik, ilmu hisab","matematika, ilmu hitung, ilmu hisab only used in Islamic text books"
matter,jirim,materi
mattress,tilam,"kasur, matras, tilam"
mean (verb),bererti,berarti
mediation,"pengantaraan (In Indonesian, it means ""broking"")",mediasi
medicine,ubat,obat
memory card,kad ingatan/kad memori,kartu memori
mental arithmetic,congak,"aritmetika cepat, congak"
Mexico,Mexico,Meksiko
mile,"batu (means ""stone"" in Indonesian, from Sanskrit)",mil
military,"tentera, ketenteraan, militari","militer (from French militaire through Dutch militair), kemiliteran, ketentaraan"
minibus,bas mini,"bis mini, minibus"
minute,minit,menit
"mobile phone, cellphone",telefon bimbit,"telepon seluler (ponsel), telepon genggam"
Monaco,Monaco,Monako
Monday,Isnin,Senin
money,"wang, duit","uang, duit (colloquial)"
Morocco,Maghribi from Arabic,Maroko
mortgage,gadai janji,"hipotek from Dutch hypotheek, gadai"
Moscow,Moscow,"Moskwa, Moskow"
motorcycle,motosikal,"sepeda motor lit. ""motorized bicycle"" – influenced by Dutch motorfiets, motor (informal)"
Mozambique,Mozambique,Mozambik
Mrs.,Puan,"Ibu, Nyonya (Ny.)"
music,muzik,musik
