English,Standard Malay (Malaysian),Indonesian
backpack,"beg sandang (lit. ""sling bag"")","ransel (from Dutch), tas punggung"
backstage (of a theater or studio),belakang tabir,"belakang layar (lit. ""back screen/behind the screen""),
belakang panggung"
bag,beg,tas (from Dutch)
baseband,jalur asas,pita dasar
basin (wash basin/sink),besen,"wastafel (from Dutch, lit. washing table)"
basket (ball),keranjang,bola basket
basket (general),bakul,keranjang
because,"kerana, sebab","karena, sebab"
bed,katil,"matras influenced by Dutch matras, tempat tidur, ranjang, kasur"
Belgium,Belgium,Belgia influenced by Dutch België
Belgrade,Belgrade,Beograd influenced by Serbian Београд
belt (of a seat),tali keledar,"sabuk, ikat pinggang"
bicycle,basikal,sepeda (influenced by French velocipede)
bill (legislation),rang undang-undang,"rancangan undang-undang, legislasi"
billboard,papan iklan,"baliho (supposedly from English ballyhoo (in English it means extravagant publicity or fuss)) papan iklan, papan reklame from Dutch reclame (advertisement)"
billion,"seribu juta, bilion","miliar (from Dutch miljard), milyar (informal but frequently used)"
binary,perduaan,biner (from Dutch binaire)
bishop,"biskop, bisyop",uskup
board (company),lembaga 'agency' in Indonesian,dewan
border,sempadan,perbatasan
"bonnet, hood (of a car)","bonet, bumbung, hud",kap from Dutch
"boot, trunk (of a car)",but,bagasi
Britain,Britain,Britania (from Latin: Britannia)
Brussels,Brussels,Brussel (influenced by Dutch)
Bucharest,Bucharest,Bukarest
bucket; pail,baldi,ember from Dutch emmer
bus,bas,"bus, bis nonstandard, influenced by Dutch pronunciation"
bus station,stesen bas,terminal bus ( frequently pronounced as terminal bis as it is derived from Dutch pronunciation of bus )
bus stop,perhentian bas,"1. pemberhentian bus, 2. halte bus from Dutch bushalte"
business,"perniagaan, bisnes","perniagaan (less commonly used), bisnis"
