Slackware,Binary blobs[82],"ext4, ext3, ext2, reiserfs, brtfs, xfs",RC.d and sysvinit compatibile,"KDE, XFCE Fluxbox, Blackbox, fvwm2 twm",No
Slax,Binary blobs,SquashFS,sysvinit,KDE Plasma Workspaces,No
SliTaz GNU/Linux,Binary blobs,ext3,busybox-init,Openbox,No
Solus,Binary blobs,ext4,systemd,"Budgie, Gnome, MATE",No
Source Mage GNU/Linux,Binary blobs,ext2,simpleinit-msb,none,No
SteamOS,Binary blobs,?,systemd,Steam,No
SUSE Linux Enterprise Desktop,Binary blobs[82],btrfs[107],systemd,GNOME,No
Tails,Vanilla Linux[82],?,systemd,GNOME,Reproducible ISO and USB images[108][109]
Trisquel,Linux-libre,"ext4, xfs",systemd,"GNOME, LXDE",No
TurnKey GNU/Linux,Binary blobs,ext4,systemd,none - headless server by design; provides Webmin for administration,No
Ubuntu/Edubuntu,Binary blobs[82],ext4[110],systemd,Unity,No
Ubuntu GNOME,Binary blobs,ext4,systemd,GNOME 3,No
Ubuntu MATE,Binary blobs,ext4,systemd,MATE,No
Kubuntu,Binary blobs,ext4[110],systemd,KDE Plasma Workspaces,No
Xubuntu,Binary blobs,ext4[110],systemd,Xfce,No
Lubuntu,Binary blobs,ext4,systemd,LXQt,No
Ututo,"Ututo XS (stable) is de-blobbed with Linux-libre tools.[111] Ututo UL (development) uses Linux-libre. Ututo UL means ""Ubuntu-Libre""",ext3,systemd,GNOME,No
VectorLinux,Binary blobs,ReiserFS,sysvinit,"KDE, Openbox, Fluxbox, IceWM, Xfce",No
Void Linux,Binary blobs,none,runit,none,No
Webconverger,Binary blobs,gitfs,sysvinit,dwm enforcing a Browser-only interface,No
XBMC Live,Binary blobs,ext3,systemd,XBMC Media Center,No
Zentyal,Binary blobs,ext4,systemd,LXDE,No
Zenwalk,Binary blobs,ext4,sysvinit,Xfce,No
Distribution,Default Linux kernel,Default file system,Default init system,Install-time desktop environment or window manager selection,Reproducible builds
