English,Malaysian,Indonesian
half past one,pukul satu setengah (one thirty),pukul setengah dua (thirty to two)
hammer,tukul,"palu, martil from Portugue martelo"
Handball,bola baling,bola tangan
head office,"ibu pejabat ""ibu"" also means ""mother"" or ""ma'am"" in both languages","kantor pusat (""kantor"" – from Dutch kantoor (office)),  markas"
"headscarf, hijab",tudung,"kerudung, jilbab though these words have different meanings"
healthy,sihat,sehat
herb,herba,"jamu often understood as traditional potion made from rhizomes, also means ""guest"" (""tamu"") and ""treat the guest"" (""menjamu""), herbal"
hexadecimal,perenambelasan,heksadesimal
hospital,hospital,"rumah sakit influenced by Dutch ziekenhuis (""house of the sick"") – This term is still used in Brunei, but in Malaysia, ""hospital"" has replaced the term completely since the 1960s"
Hungary,Hungary,"Hungaria, Hongaria substandard, influenced by Dutch Hongarije"
hybrid (biology),kacukan  hibrid,hibrida
